News ID,Title
N2804,"Google discontinues Clips, the AI-powered camera you forgot about"
N96829,AI can help doctors spot brain hemorrhages faster
N118770,Pentagon's draft AI ethics guidelines fight bias and rogue machines
N110386,Google Says New AI-Powered Search Update Is 'Huge Step Forward'
N83002,Sonar drone helps find a WWII Japanese aircraft carrier
N12477,NVIDIA's AI can put your pet's smile on a random animal
N103911,Here's how Alexa learned to speak Spanish without your help
N58500,Broward will use artificial intelligence to improve your commute. Think of it as the 'county brain.'
N44750,Photoshop's latest AI-powered tool makes quick work of selections
N75145,Scientists and researchers reveal 13 dark technology scenarios that keep them up at night
N94188,Twitter says it's better at spotting abusive tweets than users
N75576,AI Helps Scientists Design a New Compressible Material
N107800,Microsoft to use AI to filter game chat
N59020,Honeywell to establish robotics center in the Strip District and start hiring
N44956,Oral-B's new $220 toothbrush has AI to tell you when you're brushing poorly
N85247,Facebook emphasizes women's safety on social media
N58459,Activists warn UN about dangers of using AI to make decisions on what human soldiers should target and destroy on the battlefield
N5654,Google researchers taught an AI to recognize smells
N62467,These Researchers Are Using AI Drones to More Safely Track Wildlife
N81621,Microsoft is poised to add machine-reading results to Microsoft Search
N15124,Plus One Robotics to double workforce
N49878,Workers trust AI more than human managers
N95680,Adobe's experimental 'sneaks' could make editing so much easier
N87919,If you uploaded photos of your kids to Flickr they might have been used to train AI
N74654,World's Most Valuable AI Startup Scrambles to Survive Trump's Blacklist
N14255,NVIDIA's AI will help USPS handle packages 10 times faster
N2002,"Police will get AI-powered license plate readers, but ethical concerns remain"
N105484,Humana partners with Microsoft to 'reimagine health for aging populations'
N43686,Facebook AI can 'hide' people from facial recognition
N66238,Mark Zuckerberg Teases AI 'Brain Chip' But It Will Be Different Than Elon Musk's
N57310,Healthcare risk algorithm had 'significant racial bias'
N68130,Microsoft to Attend Pentagon Summit on Project Maven
N56061,"With Face Scans, Automated Marking, Singapore Carves AI Niche"
N42616,OpenAI has published the text-generating AI it said was too dangerous to share
N100323,University of Michigan president on online education in India
N107865,Intel will build AI brains into your laptop for tomorrow's speed boost
N76779,See MIT's Mini Cheetah backflipping robots play a mean game of soccer
N73821,OpenAI published the tool that writes disturbingly believable fake news
N31395,Google AI can tell you how close your voice is to Freddie Mercury's
N73823,It's official: Microsoft's regional artificial intelligence hub has a home in Louisville
N104837,"Mark Zuckerberg: Facebook is transparent about cleaning up hate speech and violence, others aren't"
N9824,Microsoft CTO Kevin Scott takes over from Harry Shum as head of AI and Research
