Unnamed: 0,News ID,Category,SubCategory,Title,Abstract,URL,Title Entities,Abstract Entities,text_for_keywords,keywords,keywords_str,tags
3958,N2804,news,newsscienceandtechnology,"Google discontinues Clips, the AI-powered camera you forgot about","While Google was busy showcasing its latest devices yesterday, it was also, more quietly, pulling the plug on a few others. Today, it confirmed that it has removed its Clips camera from the Google Store. Google Clips was a short-lived camera that users were meant to position around their homes. It had artificially intelligent auto-capture and promised to record clips when it saw something interesting, like something cute your kid or pet might do...",https://assets.msn.com/labs/mind/AAIT1gq.html,"[{""Label"": ""Google"", ""Type"": ""O"", ""WikidataId"": ""Q95"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Google""]}, {""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [31], ""SurfaceForms"": [""AI-powered""]}]","[{""Label"": ""Google Store"", ""Type"": ""O"", ""WikidataId"": ""Q19758689"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [190], ""SurfaceForms"": [""Google Store""]}, {""Label"": ""Google"", ""Type"": ""O"", ""WikidataId"": ""Q95"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [6], ""SurfaceForms"": [""Google""]}, {""Label"": ""Google Clips"", ""Type"": ""U"", ""WikidataId"": ""Q48726751"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [204], ""SurfaceForms"": [""Google Clips""]}]","Google discontinues Clips, the AI-powered camera you forgot about While Google was busy showcasing its latest devices yesterday, it was also, more quietly, pulling the plug on a few others. Today, it confirmed that it has removed its Clips camera from the Google Store. Google Clips was a short-lived camera that users were meant to position around their homes. It had artificially intelligent auto-capture and promised to record clips when it saw something interesting, like something cute your kid or pet might do...","['latest devices yesterday', 'Google discontinues Clips', 'devices yesterday', 'pulling the plug', 'busy showcasing']","latest devices yesterday, Google discontinues Clips, devices yesterday, pulling the plug, busy showcasing","['policy/Regulation', 'topic/Safety', 'geo/US']"
8804,N96829,news,newsscienceandtechnology,AI can help doctors spot brain hemorrhages faster,"AI is already capable of discovering medical conditions with a high degree of accuracy. However, brain hemorrhages are particularly challenging -- false positives slow things down, while missing even a tiny hemorrhage could be deadly. The technology might be ready for it, however. UC Berkeley and UCSF researchers have created an algorithm that detected brain hemorrhages with accuracy better than two out of four radiologists in a test. The key...",https://assets.msn.com/labs/mind/AAJgflU.html,"[{""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""AI""]}]","[{""Label"": ""University of California, San Francisco"", ""Type"": ""O"", ""WikidataId"": ""Q1061104"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [298], ""SurfaceForms"": [""UCSF""]}, {""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""AI""]}, {""Label"": ""University of California, Berkeley"", ""Type"": ""O"", ""WikidataId"": ""Q168756"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [282], ""SurfaceForms"": [""UC Berkeley""]}]","AI can help doctors spot brain hemorrhages faster AI is already capable of discovering medical conditions with a high degree of accuracy. However, brain hemorrhages are particularly challenging -- false positives slow things down, while missing even a tiny hemorrhage could be deadly. The technology might be ready for it, however. UC Berkeley and UCSF researchers have created an algorithm that detected brain hemorrhages with accuracy better than two out of four radiologists in a test. The key...","['discovering medical conditions', 'doctors spot brain', 'brain hemorrhages faster', 'spot brain hemorrhages', 'doctors spot']","discovering medical conditions, doctors spot brain, brain hemorrhages faster, spot brain hemorrhages, doctors spot","['domain/Search', 'event/GoogleIO', 'topic/Multimodal', 'biz/Pricing']"
12538,N118770,news,newsscienceandtechnology,Pentagon's draft AI ethics guidelines fight bias and rogue machines,"Tech companies might have trouble establishing groundwork for the ethical use of AI, but the Defense Department appears to be moving forward.",https://assets.msn.com/labs/mind/AAJKAXe.html,"[{""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [17], ""SurfaceForms"": [""AI ethics""]}, {""Label"": ""The Pentagon"", ""Type"": ""F"", ""WikidataId"": ""Q11208"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Pentagon""]}]","[{""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [81], ""SurfaceForms"": [""AI""]}, {""Label"": ""United States Department of Defense"", ""Type"": ""O"", ""WikidataId"": ""Q11209"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [93], ""SurfaceForms"": [""Defense Department""]}]","Pentagon's draft AI ethics guidelines fight bias and rogue machines Tech companies might have trouble establishing groundwork for the ethical use of AI, but the Defense Department appears to be moving forward.","['rogue machines Tech', 'machines Tech companies', 'ethics guidelines fight', 'guidelines fight bias', 'trouble establishing groundwork']","rogue machines Tech, machines Tech companies, ethics guidelines fight, guidelines fight bias, trouble establishing groundwork","['org/Google', 'domain/Technology', 'event/GoogleIO', 'topic/Multimodal  \n\n\n\nLet me explain the choices:\n\n* **org/Google:** Directly mentioned in the title and content.\n* **domain/Technology:** While not explicitly stated', 'the article focuses on a tech product (AI-powered camera). \n* **event/GoogleIO:**  The phrase ""while Google was busy showcasing its latest devices yesterday"" strongly implies a recent event like Google I/O.\n* **topic/Multimodal:** The description of the camera capturing ""something interesting"" hints at a multimodal approach (likely combining vision and potentially audio). \n\n\n\nLet me know if you\'d like to explore other potential tags!']"
12690,N110386,news,newsscienceandtechnology,Google Says New AI-Powered Search Update Is 'Huge Step Forward',"Google is injecting its search engine with new technology to better interpret the billions of web queries it handles every day, a change top executives described as one of the most significant in the company's history.",https://assets.msn.com/labs/mind/AAJknM1.html,"[{""Label"": ""Google"", ""Type"": ""O"", ""WikidataId"": ""Q95"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Google""]}, {""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [16], ""SurfaceForms"": [""AI-Powered""]}]","[{""Label"": ""Google"", ""Type"": ""O"", ""WikidataId"": ""Q95"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Google""]}]","Google Says New AI-Powered Search Update Is 'Huge Step Forward' Google is injecting its search engine with new technology to better interpret the billions of web queries it handles every day, a change top executives described as one of the most significant in the company's history.","['Huge Step Forward', 'AI-Powered Search Update', 'change top executives', 'Huge Step', 'Step Forward']","Huge Step Forward, AI-Powered Search Update, change top executives, Huge Step, Step Forward","['domain/Healthcare', 'topic/Multimodal', 'topic/RAG', 'org/UC Berkeley', 'org/UCSF']"
16892,N83002,news,newsscienceandtechnology,Sonar drone helps find a WWII Japanese aircraft carrier,"The late Paul Allen's underwater robotics are still achieving firsts in discovering long-lost warships. Vulcan's research vessel Petrel and its two robotic vehicles have discovered the Kaga, a Japanese aircraft carrier sunk during WWII's pivotal Battle of Midway. It's the first time anyone has found a Japanese carrier, Vulcan said, and also the most extensive search the Petrel team has conducted. The team spent several weeks combing an entire...",https://assets.msn.com/labs/mind/AAJ5fru.html,"[{""Label"": ""World War II"", ""Type"": ""E"", ""WikidataId"": ""Q362"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""WWII""]}]","[{""Label"": ""Percival Petrel"", ""Type"": ""V"", ""WikidataId"": ""Q7167140"", ""Confidence"": 0.986, ""OccurrenceOffsets"": [129, 373], ""SurfaceForms"": [""Petrel"", ""Petrel""]}, {""Label"": ""Battle of Midway"", ""Type"": ""E"", ""WikidataId"": ""Q173034"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [246], ""SurfaceForms"": [""Battle of Midway""]}, {""Label"": ""Japanese aircraft carrier Kaga"", ""Type"": ""V"", ""WikidataId"": ""Q726146"", ""Confidence"": 0.992, ""OccurrenceOffsets"": [185], ""SurfaceForms"": [""Kaga""]}, {""Label"": ""World War II"", ""Type"": ""E"", ""WikidataId"": ""Q362"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [231], ""SurfaceForms"": [""WWII""]}]","Sonar drone helps find a WWII Japanese aircraft carrier The late Paul Allen's underwater robotics are still achieving firsts in discovering long-lost warships. Vulcan's research vessel Petrel and its two robotic vehicles have discovered the Kaga, a Japanese aircraft carrier sunk during WWII's pivotal Battle of Midway. It's the first time anyone has found a Japanese carrier, Vulcan said, and also the most extensive search the Petrel team has conducted. The team spent several weeks combing an entire...","['Paul Allen underwater', 'late Paul Allen', 'Allen underwater robotics', 'discovering long-lost warships', 'WWII Japanese aircraft']","Paul Allen underwater, late Paul Allen, Allen underwater robotics, discovering long-lost warships, WWII Japanese aircraft","['domain/Transportation', 'topic/Robotics', 'geo/US', 'biz/Funding', 'topic/Multimodal']"
17915,N12477,news,newsscienceandtechnology,NVIDIA's AI can put your pet's smile on a random animal,"We've already seen how AI image-processing algorithms can be dumb and smart at the same time, and that's on full display with NVIDIA's latest interactive demo. ""GANimal"" lets you take a picture of your favorite pet and transfer its expression to any random animal or breed including pugs, hyenas, bears and lions. That creature will then ""smile"" or pose just like your Fluffy or Fido. ""Most GAN-based image translation networks are trained to solve...",https://assets.msn.com/labs/mind/AAJsXwY.html,"[{""Label"": ""Nvidia"", ""Type"": ""O"", ""WikidataId"": ""Q182477"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""NVIDIA""]}]","[{""Label"": ""Nvidia"", ""Type"": ""O"", ""WikidataId"": ""Q182477"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [126], ""SurfaceForms"": [""NVIDIA""]}]","NVIDIA's AI can put your pet's smile on a random animal We've already seen how AI image-processing algorithms can be dumb and smart at the same time, and that's on full display with NVIDIA's latest interactive demo. ""GANimal"" lets you take a picture of your favorite pet and transfer its expression to any random animal or breed including pugs, hyenas, bears and lions. That creature will then ""smile"" or pose just like your Fluffy or Fido. ""Most GAN-based image translation networks are trained to solve...","['NVIDIA latest interactive', 'latest interactive demo', 'NVIDIA latest', 'interactive demo', 'image-processing algorithms']","NVIDIA latest interactive, latest interactive demo, NVIDIA latest, interactive demo, image-processing algorithms","['domain/Robotics', 'org/NVIDIA', 'model/Genie', 'topic/Multimodal', 'event/GoogleIO']"
19700,N103911,news,newsscienceandtechnology,Here's how Alexa learned to speak Spanish without your help,"Now that Alexa knows how to speak Spanish in the US, there's a common question: how did it learn the language when it didn't have the benefit of legions of users issuing commands? Through new tools, it seems. Amazon has revealed a pair of system that helped Alexa hone its español (and Hindi, and Brazilian Portugese) using just a tiny amount of reference material. Effectively, they gave the natural language machine learning model a jumpstart. The...",https://assets.msn.com/labs/mind/AAIIg69.html,[],"[{""Label"": ""Brazilian Portuguese"", ""Type"": ""B"", ""WikidataId"": ""Q750553"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [297], ""SurfaceForms"": [""Brazilian Portugese""]}, {""Label"": ""Amazon (company)"", ""Type"": ""O"", ""WikidataId"": ""Q3884"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [209], ""SurfaceForms"": [""Amazon""]}, {""Label"": ""Hindi"", ""Type"": ""B"", ""WikidataId"": ""Q1568"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [286], ""SurfaceForms"": [""Hindi""]}, {""Label"": ""Effectiveness"", ""Type"": ""C"", ""WikidataId"": ""Q1296024"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [366], ""SurfaceForms"": [""Effectively""]}]","Here's how Alexa learned to speak Spanish without your help Now that Alexa knows how to speak Spanish in the US, there's a common question: how did it learn the language when it didn't have the benefit of legions of users issuing commands? Through new tools, it seems. Amazon has revealed a pair of system that helped Alexa hone its español (and Hindi, and Brazilian Portugese) using just a tiny amount of reference material. Effectively, they gave the natural language machine learning model a jumpstart. The...","['speak Spanish', 'users issuing commands', 'learned to speak', 'common question', 'issuing commands']","speak Spanish, users issuing commands, learned to speak, common question, issuing commands","['domain/Healthcare', 'domain/Fintech', 'domain/Education', 'domain/Transportation', 'topic/Multimodal', 'topic/Agents', 'biz/Funding', 'org/Amazon']"
19841,N58500,news,newsscienceandtechnology,Broward will use artificial intelligence to improve your commute. Think of it as the 'county brain.',"With little room left to widen roads to reduce congestion, Broward County is turning to artificial intelligence to shorten commuter drive times. The county is building a network of cameras and sensors on its roads that will quickly adjust signals to reduce delays as changing traffic patterns are detected. It's also feeding that intersection information -- along with data from traffic apps like ...",https://assets.msn.com/labs/mind/AAIYxJD.html,"[{""Label"": ""Broward County, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q494624"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Broward""]}]","[{""Label"": ""Broward County, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q494624"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [59], ""SurfaceForms"": [""Broward County""]}]","Broward will use artificial intelligence to improve your commute. Think of it as the 'county brain.' With little room left to widen roads to reduce congestion, Broward County is turning to artificial intelligence to shorten commuter drive times. The county is building a network of cameras and sensors on its roads that will quickly adjust signals to reduce delays as changing traffic patterns are detected. It's also feeding that intersection information -- along with data from traffic apps like ...","['improve your commute', 'artificial intelligence', 'intelligence to improve', 'Broward County', 'Broward']","improve your commute, artificial intelligence, intelligence to improve, Broward County, Broward","['domain/Transportation', 'topic/Multimodal', 'geo/US', 'biz/Funding']"
21464,N44750,news,newsscienceandtechnology,Photoshop's latest AI-powered tool makes quick work of selections,"Isolating objects in Photoshop can be a painstaking process. If you want to select simple objects, the marquee or lasso tools will get the job done quickly. But if you're working on a complex subject, like a dog with frizzy fur or a shirt with lots of wrinkles, you'll have to buckle down and spend some time refining the selection. Adobe's AI engine is making the process much easier, though. Photoshop's new Object Selection tool will quickly...",https://assets.msn.com/labs/mind/AAJy0GP.html,"[{""Label"": ""Adobe Photoshop"", ""Type"": ""W"", ""WikidataId"": ""Q129793"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Photoshop""]}, {""Label"": ""Artificial intelligence"", ""Type"": ""C"", ""WikidataId"": ""Q11660"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""AI-powered""]}]","[{""Label"": ""Adobe Photoshop"", ""Type"": ""W"", ""WikidataId"": ""Q129793"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [21, 394], ""SurfaceForms"": [""Photoshop"", ""Photoshop""]}, {""Label"": ""Adobe Illustrator"", ""Type"": ""W"", ""WikidataId"": ""Q215016"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [333], ""SurfaceForms"": [""Adobe's AI""]}]","Photoshop's latest AI-powered tool makes quick work of selections Isolating objects in Photoshop can be a painstaking process. If you want to select simple objects, the marquee or lasso tools will get the job done quickly. But if you're working on a complex subject, like a dog with frizzy fur or a shirt with lots of wrinkles, you'll have to buckle down and spend some time refining the selection. Adobe's AI engine is making the process much easier, though. Photoshop's new Object Selection tool will quickly...","['makes quick work', 'selections Isolating objects', 'latest AI-powered tool', 'AI-powered tool makes', 'tool makes quick']","makes quick work, selections Isolating objects, latest AI-powered tool, AI-powered tool makes, tool makes quick","['domain/Photoshop', 'topic/Multimodal', 'model/Smart Compose']"
22781,N75145,news,newsscienceandtechnology,Scientists and researchers reveal 13 dark technology scenarios that keep them up at night,"AI, drones, and self-driving vehicles raise many open-ended questions about the unintended consequences of technology.",https://assets.msn.com/labs/mind/AAJBDsq.html,[],[],"Scientists and researchers reveal 13 dark technology scenarios that keep them up at night AI, drones, and self-driving vehicles raise many open-ended questions about the unintended consequences of technology.","['dark technology scenarios', 'self-driving vehicles raise', 'Scientists and researchers', 'researchers reveal', 'dark technology']","dark technology scenarios, self-driving vehicles raise, Scientists and researchers, researchers reveal, dark technology","['topic/DarkTechnology', 'domain/Robotics', 'domain/Transportation', 'biz/Regulation \n\n\nLet me explain my choices:\n\n* **topic/DarkTechnology:** This directly reflects the article\'s focus on potentially negative consequences of AI.\n* **domain/Robotics:**  Drones and self-driving vehicles are heavily linked to robotics.\n* **domain/Transportation:** Self-driving vehicles fall squarely under transportation.\n* **biz/Regulation:** The mention of ""open-ended questions about unintended consequences"" suggests a need for regulatory oversight. \n\n\n\nLet me know if you have any other articles you\'d like me to tag!']"
